coin,adl_notional,closed_pnl,leverage,pnl_percent,num_users,num_events
BTC,563697967.33485,68543207.161313,9.770768975630553,11.36005382870487,1585,1780
ETH,456114465.18663996,110343364.29591301,2.9151510186597687,25.37870756598482,1319,1354
SOL,274372334.1515,68927523.00521499,1.306067160367599,23.701142589195026,2667,2779
HYPE,182144477.49359,51094070.087855,0.7870558490021683,37.825618497690726,6112,6128
XPL,65078935.24103,118148303.11022401,0.3142044859042789,138.45029348433562,2832,2919
PUMP,55705557.243582,29615820.240166,0.19676000618065456,78.75476824615544,1810,1823
ENA,39836853.35271,42443721.937498,0.3794503773641933,127.43704174656483,242,332
AVAX,35548311.54738,22215669.118662,0.33565620877964464,61.36302596417892,318,360
FARTCOIN,31584327.979898,67114026.334534,0.19131721053447948,163.3852397034867,1822,1917
XRP,30803071.7786,13129049.295541001,1.642601806378074,45.25273045649532,352,455
ASTER,23911849.13814,13547821.678023,0.6639166407815391,46.3468974807794,369,375
LINK,20926528.1926,12376220.123387998,0.4388379439682245,49.33226810318574,200,227
LTC,20808674.530899998,6507817.059491001,1.2598979376017316,27.177020492758533,143,154
ZEC,16917846.0341,2417828.89355,0.9476503177844989,13.465021489551486,329,338
DOGE,14783002.103999998,9954786.605527,0.9796989905306678,73.13705278500454,208,219
SUI,13167134.157990001,9341746.967038,0.48481131976714664,84.79129236843616,305,402
PENGU,10487076.781492,8926372.459881002,0.22080532004649142,102.30593136967012,279,363
MNT,9850625.95118,5405082.991622001,0.3712617778938219,36.55724211756105,166,184
IP,9347395.39094,6369391.6296810005,0.1859808222196838,73.67570822497805,262,267
TAO,8620070.26943,5795218.469643,0.2998284362595036,66.86777470135773,149,158
UNI,7822861.49085,6346331.844116,0.20370484434319047,94.60706968677049,136,161
EIGEN,7566671.126668,8251634.768538,0.17412862477420007,111.84344903478215,123,133
LINEA,5297659.636771001,3406773.754131,0.2102479679849272,80.1788021291496,174,182
CRV,4821943.109605,5937853.223363,0.26567576624915973,106.24737382866368,144,182
LDO,4476768.434145,2285868.9434860004,0.2565993469474823,73.37046295120655,78,92
ENS,4448322.74034,1851320.31473,0.14156007238270726,40.61082635553913,96,96
HBAR,4054269.41088,1454525.5547079998,0.09361426840880478,62.591710853420125,181,184
kPEPE,3704632.1330339997,6167160.646187999,0.34142594963777295,119.33857326332321,125,155
ZRO,3644253.05608,2503272.54822,0.13882513153032375,64.69219075781707,123,130
TRUMP,3451634.9372300003,5646418.178935,0.31914674515352254,232.2137649225977,227,242
BERA,3418642.753,2942494.762215,0.5473872465505726,128.86001397608746,118,129
kBONK,3372362.4727709997,5302324.667022999,0.2574249226674107,120.43639614476145,79,97
WLD,3282530.9803170003,5154460.412593,0.20930495336815774,164.3810807284921,184,200
LAUNCHCOIN,3084150.955424,1770370.651891,0.3964449998514873,62.382905312434175,126,132
PURR,3003150.42535,2294554.13749,0.2084161665431357,75.27480527709488,161,167
ADA,2729740.96182,1748936.4198420001,0.47851588990472255,63.62245396354109,195,218
BNB,2529606.54358,801932.537676,2.0057890359639123,35.44845066382273,282,284
TON,2363388.862715,2866493.7086569997,0.335622792046933,117.71190985137207,89,95
NEAR,2254799.54586,1161184.449648,0.3439358431293879,54.43502157554814,68,84
JUP,2208243.06468,3080386.020913,0.1883082828798758,161.1002737083784,106,131
AAVE,2208167.4119,1547841.788981,1.4988981950242297,76.47793393960423,36,44
STRK,2073900.9139820002,926842.6872519999,0.28786502149364285,50.390442851410626,101,114
SNX,2060200.568593,825934.471682,0.25944191325392385,47.0661307258668,65,66
WIF,2032698.59431,3425758.819947,0.1381196605088615,187.75244527981974,171,177
WLFI,1988420.770061,2098607.028927,0.4525749992156752,107.16053649904336,44,45
CAKE,1895685.61924,1107803.395077,0.3121936793454744,57.44918833330633,108,112
ONDO,1793398.9468,2241994.745906,0.4080811429539315,147.91550979809384,94,106
