coin,adl_notional,closed_pnl,leverage_realtime,pnl_percent,is_negative_equity,num_users,num_events
2Z,365828.83953999996,301099.557002,0.18575064737753552,122.86256284548948,2,60,63
AAVE,2208862.0599,1548110.806981,0.45480364361962233,73.67550800060631,6,37,45
ACE,1817.819365,26.599045,7.713706902104255e-06,-39.860834990059644,0,2,2
ADA,2733252.6239,1749312.601982,0.41195830298208713,59.8419317511697,8,196,219
AI16Z,28581.614146,99620.621048,0.07206896643135637,676.5597685145354,1,36,39
AIXBT,27928.930356,61308.103199,0.04351951315588756,280.0907714413507,0,23,25
ALT,1806.5845620000002,1753.630119,0.5211972569349549,273.39959008469003,1,13,13
APE,35430.153758,76159.127965,0.054181350516164906,315.2724788343178,0,20,22
APEX,1473451.4067000002,1182816.706257,0.954660020892057,56.222082361215094,8,39,43
APT,1753850.418445,1181792.0766470002,0.3869974480337075,60.49836974643874,5,44,61
AR,21103.443971999997,57615.980951,0.07739671150785633,261.955326596099,1,14,17
ARB,1509486.008746,2143570.568251,0.2623517089756584,164.7913983253205,8,127,148
ASTER,24002024.07654,13584232.01567,0.4954804593311618,46.48819137878312,26,409,416
ATOM,1074277.1332720001,655268.092333,0.5750013113624446,76.2215006042175,4,81,84
AVAX,35552921.89383,22215899.966856003,0.23182765040038542,53.27437048002058,9,322,365
AVNT,39833.38659,56070.190759000005,0.5422700572885579,154.33945651960042,1,21,21
BABY,3670.391528,4630.749523,0.04681777948247518,131.17817833745733,0,18,18
BANANA,46655.48736,49291.38346,0.055514606753630825,132.1008395222183,1,24,25
BCH,914215.44683,170066.454615,0.27939456929802264,19.089589961672115,4,81,82
BERA,3447159.32534,2961714.117775,0.37929469609521405,130.65041855314564,4,120,131
BIGTIME,536787.866,265399.855562,0.04864659672340387,66.96966465206387,1,56,56
BIO,82596.985702,187801.039864,0.0852493583937772,213.9201700446702,0,18,23
BLAST,15.219744,17.1534,0.6409626617388888,112.70491803278688,0,1,1
BNB,2543231.75518,806064.79724,1.0577333621418334,35.97174244489978,24,301,303
BOME,37621.194703,60385.713259,0.025110470907869768,227.68427518427518,1,36,37
BRETT,53006.492634,73811.79858599999,0.033642766353965056,173.11769642227685,0,8,12
BTC,576497438.29413,69142073.18983099,11.470720885955458,10.66418494520085,93,1792,2063
CAKE,1897985.2844399998,1108474.427247,0.3411771821188266,57.133451770415014,11,110,114
CELO,2287.54152,2249.605697,0.3750865652405433,108.9449655103965,0,4,4
CFX,23977.062469999997,26851.456453,0.4643273141377725,103.5133653606946,0,3,4
CHILLGUY,1257676.3089019998,1031598.269316,0.059623089757881075,88.35364596610657,3,86,89
COMP,51514.111880000004,46300.071154000005,0.34884245224527244,83.37259442625569,0,8,8
CRV,4822161.683245,5937892.927547,0.12734964718080424,53.76711829376169,8,146,184
DOGE,14792004.99951,9956453.745949,0.5870180524048336,67.18192787271273,9,216,229
DOOD,9.001619999999999,3.64167,0.46515976682604776,40.45571797076526,0,1,1
DOT,954191.91536,481576.67726799997,0.15897354253263088,92.015153695191,1,89,108
DYDX,2209.521638,6034.407193,0.11873702061832991,242.9668214566195,0,7,8
DYM,6574.380330000001,16648.469633,0.04740539901703553,243.92720306513408,1,6,6
EIGEN,7566696.708335999,8251650.0392620005,0.12694022457497436,106.66963112168601,2,124,134
ENA,39845546.10473,42445378.983243,2.342907556221041,121.00739931737924,14,247,337
ENS,4448322.74034,1851320.31473,0.08791852654250776,38.08958512908919,0,96,96
ETC,205102.25055,116851.563176,0.37544713281035297,60.955453634960165,0,4,5
ETH,458008439.55717,110553406.74480902,8.474187126853733,24.489431989660307,81,1455,1495
ETHFI,158062.177823,159578.188528,0.08741915286330194,196.9859845800647,1,22,30
FARTCOIN,31674850.541782,67137431.452153,0.12977928781972606,159.73766398595504,12,1838,1940
FET,56306.410509999994,58228.78169,0.09156513218684793,104.73380785032954,1,21,24
FIL,115478.044811,196358.45248100001,0.09340088746237069,181.25196317168795,1,66,71
FXS,304958.479909,625170.28009,0.025388515609859823,171.02390439358956,1,44,49
GALA,3128.563586,9115.518316,0.028698195781986954,105.46229326725431,1,3,3
GAS,1097.8753000000002,783.344378,0.09546796225282925,67.6252343959282,0,4,4
GMT,9397.5968,6558.255896,0.18632052233505628,123.99844095898348,1,16,16
GMX,21970.335766999997,13570.772697000002,0.1563639623735776,104.69594778515699,1,12,16
GOAT,10043.877584000002,-46526.140994,5.58644603052515,-613.1174868641931,16,19,19
GRASS,661914.872105,1316477.736533,0.1206622303807608,273.4356952871647,1,115,124
